P_SEQ,M_SEQ,M_NAME,A_SEQ,A_NAME,A_UNIT,A_PRICE,P_YEAR_MONTH,ADD_COL,M_TYPE_CODE,M_TYPE_NAME,M_GU_CODE,M_GU_NAME
421105,11,남대문시장,170,"배(신고),중급(대)",1개  580g,2000,2013-03,안성배,001,전통시장,140000,중구
421106,11,남대문시장,307,배추(2.5~3kg),1포기`,6000,2013-03,해남,001,전통시장,140000,중구
421107,11,남대문시장,282,무(세척무),1개  1.4kg,1000,2013-03,제주,001,전통시장,140000,중구
421108,11,남대문시장,309,양파(1.5kg망),1망,4500,2013-03,전남 무안,001,전통시장,140000,중구
421109,11,남대문시장,310,상추(100g),1봉지,500,2013-03,이천용곡농장,001,전통시장,140000,중구
421110,11,남대문시장,311,오이(다다기),1개,700,2013-03,미금농협,001,전통시장,140000,중구
421111,11,남대문시장,118,"호박(인큐베이터),중간",1ㅐ,1500,2013-03,논개애호박 진주 남강,001,전통시장,140000,중구
421112,11,남대문시장,98,쇠고기(한우2등급),1근,18000,2013-03,한우 앞다리 농협음성공판장,001,전통시장,140000,중구
421113,11,남대문시장,99,돼지고기(생삼겹살),1근,9000,2013-03,축협음성공판장,001,전통시장,140000,중구
421114,11,남대문시장,283,닭고기(육계),1마리  1kg,4500,2013-03,동두천,001,전통시장,140000,중구
421115,11,남대문시장,134,달걀(왕란),10개,1650,2013-03,김포 영주,001,전통시장,140000,중구
421116,11,남대문시장,144,"조기(국산,냉동)",1마리  ,670,2013-03,참조기 목포,001,전통시장,140000,중구
421117,11,남대문시장,264,"명태(냉동,수입산)",1마리,2500,2013-03,원양산,001,전통시장,140000,중구
421118,11,남대문시장,256,"오징어(냉동,국산)",1마리,2500,2013-03,강원도,001,전통시장,140000,중구
421119,11,남대문시장,266,"고등어(생물,국산)",1마리,5000,2013-03,부산,001,전통시장,140000,중구
423182,154,홈플러스 강동점,305,"사과(부사, 300g)",1개,2300,2013-03,예산,002,대형마트,740000,강동구
423183,154,홈플러스 강동점,306,"배(신고, 600g)",1개,3933,2013-03,3개11800,002,대형마트,740000,강동구
423184,154,홈플러스 강동점,307,배추(2.5~3kg),1포기,2000,2013-03,,002,대형마트,740000,강동구
423185,154,홈플러스 강동점,308,무(1kg),1개,1000,2013-03,제주,002,대형마트,740000,강동구
423186,154,홈플러스 강동점,24,양파,1망1.5kg),4360,2013-03,무안,002,대형마트,740000,강동구
423187,154,홈플러스 강동점,310,상추(100g),1봉지100g),980,2013-03,예냉,002,대형마트,740000,강동구
423188,154,홈플러스 강동점,311,오이(다다기),1개,750,2013-03,,002,대형마트,740000,강동구
423189,154,홈플러스 강동점,312,애호박,1개,1500,2013-03,빛그린,002,대형마트,740000,강동구
423190,154,홈플러스 강동점,58,"쇠고기(한우,불고기)",600g 1등급,16800,2013-03,100g 2800원 도드람,002,대형마트,740000,강동구
423191,154,홈플러스 강동점,99,돼지고기(생삼겹살),600g,4740,2013-03,100g 790원 팜스토리,002,대형마트,740000,강동구
423192,154,홈플러스 강동점,283,닭고기(육계),1마리850g),6580,2013-03,,002,대형마트,740000,강동구
423193,154,홈플러스 강동점,181,달걀(왕란),10개,2300,2013-03,신선란,002,대형마트,740000,강동구
