class (1=건전/0=부도),outx9ln,outx10ln,outx13,outx14,outx15,outx18,outx19,outx21,outx23,outx25,outx27,outx28,outx29,outx31,outx32,outx33,outx34,outx35,outx36,outx37,outx38,outx39,outx41,outx42,outx43,outx44,outx46,outx47,outx49,outx50,outx52,outx53,outx55,outx56,outx59,outx60,outx61,outx62,outx66,outx67,outx69,outx70,outx73
1,9.706377178,6.81014245,19.121,7.837,-20.915,14.692,0.85,3.172,26.801,0.785,90.945,97.934,2.405,1.372,14.222,2.87,1.908,71.248,100,63.741,72.492,-6.746,91.899,83.281,8.98,13.419,19.529,8.037,0.162,4.137,-0.022,0.011,11.767,2.439,57.121,12.884,1.447,1.42,3.981,0.447,-0.454,-0.011,-0.733
1,7.96241568,6.208590026,38.24,31.8,43.693,10.232,7.789,5.05,66.781,2.89,81.504,99.896,4.562,1.572,16.7,3.35,3.35,38.073,90.494,35.106,115.034,-39.2,48.351,75.898,7.549,20.064,42.47,36.642,-2.256,10.653,-0.349,0.082,12.703,1.202,70.342,37.373,5.103,0.855,30.05,4.103,54.467,3.951,0.255
0,7.392647521,4.934473933,56.551,15.147,23.592,152.941,30.769,3.263,187.041,5.911,86.145,68.945,3.263,2.811,69.064,19.472,19.472,161.363,100,103.133,0,10.953,115.384,71.196,19.472,28.194,66.531,20.197,3.263,0,0.031,0.095,54.133,3.733,27.743,25.706,1.716,1.547,10.734,0.716,5.487,0.339,1.962
1,7.597897951,5.736572297,42.857,14.292,43.867,-48.101,22.036,2.607,77.228,5.616,81.644,79.16,2.557,3.153,36.129,15.321,15.321,249.264,86.033,117.602,133.189,27.77,151.785,53.625,15.321,42.407,24.487,8.976,-0.999,11.94,0.101,0.118,11.077,2.998,137.43,58.432,4.73,4.576,46.08,3.73,64.245,2.211,1.673
1,9.235325625,7.185387016,31.098,10.065,11.883,-18.307,26.905,2.877,81.661,1.219,90.997,91.295,2.477,1.535,9.469,4.256,3.367,773,77.71,97.453,375.739,42.052,181.133,51.831,14.008,35.56,53.178,19.252,1.284,38.4,0.14,0.225,5.755,3.089,11.043,9.113,0.738,0.372,-3.219,-0.261,-12.31,-0.823,0.894
0,8.839276691,6.186208624,43.988,15.855,-13.01,-4.836,-11.733,1.666,86.653,1.115,90.101,107.613,1.536,1.773,15.843,4.416,3.301,103.404,100,11.105,30.781,0.686,100.866,79.159,12.264,20.84,45.711,15.449,0.254,7.603,-0.003,0.118,5.261,2.774,-92.026,-53.141,-8.53,-3.33,-59.371,-9.53,-103.095,-9.556,-2.582
1,8.940105213,6.442540166,35.962,12.067,11.709,32.024,20.301,1.873,78.992,0.904,89.439,93.105,1.716,1.566,10.987,2.967,2.466,488.75,64.163,116.071,184.941,33.357,157.45,58.062,18.591,22.452,49.982,18.317,0.424,12.181,0.096,0.144,13.592,2.98,-0.858,-0.553,-0.083,0.244,-7.976,-1.209,-13.304,-1.3,0.979
1,6.884486652,5.743003188,55.752,38.689,16.171,41.176,23.026,5.117,53.061,2.763,74.002,94.64,5.117,1.62,8.653,4.144,3.609,127.868,100,80.963,114.516,9.09,115.596,58.288,28.342,41.711,32.754,25.076,0.718,6.714,0.068,0.184,7.943,1.441,57.551,32.339,2.82,2.8,20.871,1.82,9.795,0.48,1.1
1,9.114159814,7.118016204,28.687,21.446,20.608,25.724,38.975,5.967,76.309,1.684,85.148,97.156,4.965,1.378,12.398,2.595,1.937,130.289,34.415,88.191,110.827,12.142,125.505,47.606,13.091,15.624,55.368,48.144,0.111,4.479,0.131,0.186,7.528,1.337,18.225,11.959,1.47,1.867,3.826,0.47,-43.631,-3.52,-0.404
1,8.507546814,7.240649694,32.755,34.915,-8.903,38.837,7.692,7.168,75.543,3.17,73.626,94.733,5.593,1.585,11.254,3.982,2.868,112.079,66.276,79.362,146.019,4.786,108.609,55.59,20.003,25.484,46.803,51.736,1.65,3.801,0.063,0.178,12.681,0.938,-4.098,-2.574,-0.295,1.154,-11.277,-1.295,-23.458,-1.692,-0.34
